PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC
197401001,1,B4293,P.E. BENTESEN A/S,,DENMARK,DNK,
197401002,1,B1162,CENTRAIS ELECTRICAS DE GOIAS,,BRAZIL,BRA,D35
197401003,1,B1352,CITIZENS AND SOUTHERN REALTY INVESTORS,,UNITED STATES OF AMERICA (THE),USA,C54
197401004,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,,MEXICO,MEX,D35
197401005,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,K64
197401006,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,K64
197401007,1,B1732,"DEEP SEA DRILLING COMPANY, BERGEN",,NORWAY,NOR,B06
197401008,1,B1763,DEN DANSKE STAALVASEVAERK A/S,,DENMARK,DNK,
197401009,1,B2231,FIRST MORTGAGE INVESTORS,,UNITED STATES OF AMERICA (THE),USA,K64
197401010,1,B2234,FIRST NATIONAL FINANCE CORPORATION,,UNITED KINGDOM,GBR,K64
197401011,1,B2595,GRUPO CIMENTO PARAISO,,BRAZIL,BRA,
197401012,1,B2980,INSTITYTO DE FOMENTO NACIONAL,,NICARAGUA,NIC,O84
197401013,1,B3500,LONDON AND OVERSEAS PROPERTY AND INVESTMENT COMPANY LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64
197401014,1,B3563,MALLOW LINE (SHIPPING) CORPORATION,,,,H50
197401015,1,B4340,PERSIAN OIL TANKER CORPORATION,,,,H50
197401016,1,B2080,EURO SHIPPING CORPORATION,,,,H50
197401017,1,B3705,METROPOLITAN PROPERTY HOLDINGS LIMITED,,GHANA,GHA,L68
197401018,1,B4161,OLJEKONSUMENTERNAS FORBUND,,SWEDEN,SWE,
197401019,1,B4342,"PERTAMINA, INDONESIA",,INDONESIA,IDN,N82
197401020,1,B2457,"THE STATE OF PARA, BRAZIL",,BRAZIL,BRA,O84
197401021,1,B2506,THE SULTAN OF OMAN,,OMAN,OMN,O84
197401022,1,B5383,SUPERINTENDENCIA NACIONAL DA MARINHA MERCANTE,SUNAMAM,BRAZIL,BRA,N82
197401023,1,B2540,THE GOVERNMENT OF TRINIDAD AND TOBAGO,,TRINIDAD AND TOBAGO,TTO,O84
