PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,TYPE,PURPOSE,ISIC
197301001,1,B0742,BANQUE NATIONALE D'ALGERIE,,ALGERIA,DZA,,,K64
197301002,1,B0725,BANQUE ALGERIENNE DE DEVELOPPEMENT,,ALGERIA,DZA,,,K64
197301002,2,B0735,BANQUE EXTERIEURE D'ALGERIE,,ALGERIA,DZA,,,K64
197301003,1,B5197,SONATRACH,,ALGERIA,DZA,,,D35
197301004,1,B5197,SONATRACH,,ALGERIA,DZA,,,D35
197301005,1,B0735,BANQUE EXTERIEURE D'ALGERIE,,ALGERIA,DZA,,,K64
197301006,1,B0735,BANQUE EXTERIEURE D'ALGERIE,,ALGERIA,DZA,,,K64
197301007,1,B5168,SOCIETE NATIONALE DES MATERIAUX DE CONSTRUCTION,,ALGERIA,DZA,,,O84
197301008,1,B0742,BANQUE NATIONALE D'ALGERIE,,ALGERIA,DZA,,,K64
197301009,1,B1332,CIE NATIONALE ALGERIENNE DE NAVIGATION,,ALGERIA,DZA,,,H50
197301010,1,B0725,BANQUE ALGERIENNE DE DEVELOPPEMENT,,ALGERIA,DZA,,,K64
197301011,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,,,K64
197301012,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,,,K64
197301013,1,B6025,YACIMIENTOS PETROLIFEROS FISCALES,,ARGENTINA,ARG,,,D35
197301014,1,B4951,SERVICIOS ELECTRICOS DEL GRAN BUENOS AIRES,SEGBA,ARGENTINA,ARG,,,D35
197301015,1,B2349,GAS DEL ESTADO,,ARGENTINA,ARG,,,D35
197301016,1,B6025,YACIMIENTOS PETROLIFEROS FISCALES,,ARGENTINA,ARG,,,D35
197301017,1,B5949,WESTERN MINING CORP. LTD.,,AUSTRALIA,AUS,,,B07
197301018,1,B2672,HANIMEX CORPORATION,,AUSTRALIA,AUS,,,C26
197301019,1,B2447,COMMONWEALTH OF THE BAHAMAS ISLANDS,,BAHAMAS,BHS,,,O84
197301020,1,B0223,ALUMINUM BAHRAIN,ALBA,BAHRAIN,BHR,,,C24
197301021,1,B0821,BERMUDA ELECTRIC LIGHT CO. LTD.,,BERMUDA,BMU,,,D35
197301022,1,B2812,HOTEL CRILLON,,BOLIVIA,BOL,,,I55
197301023,1,B0061,ADELA INTERNATIONAL FINANCING CO.S.A.,,SPAIN,ESP,,,K64
197301024,1,B0061,ADELA INTERNATIONAL FINANCING CO.S.A.,,SPAIN,ESP,,,K64
197301025,1,B0061,ADELA INTERNATIONAL FINANCING CO.S.A.,,SPAIN,ESP,,,K64
197301026,1,B5597,"TRANS AUSTRIA GASLINE FINANCE CO., LTD. HAMILTON, BERMUDA",,BORROWERS UNALLOCATED BY COUNTRY,,,,D35
197301027,1,B1085,CARAVEL TANKERS LTD.,,BORROWERS UNALLOCATED BY COUNTRY,,,,H50
197301028,1,B0602,BANCO HALLES DE INVESTIMENTOS,,BRAZIL,BRA,,,K64
197301029,1,B1164,CENTRAIS ELECTRICAS DE SAO PAULO,CESP,BRAZIL,BRA,,,D35
197301030,1,B1462,COMPANHIA CEMENTO PORTLAND ITAU,,BRAZIL,BRA,,,C32
197301031,1,B1317,COMPANHIA DO METROPOLITANO DE RIO DE JANEIRO,,BRAZIL,BRA,,,H49
