rssdid,bhcid,date,name
28,0,19930930,FIRST ATLANTIC BK
37,0,20200331,BANK OF HANCOCK CTY
46,1135600,19930930,REPUBLIC BK
55,0,19811231,STATE BK OF LITTLEFORK
64,1101753,19880630,FIRST REPUBLICBANK PARIS
130,1081275,19851231,PARK BK OF FLORIDA
233,1075733,19871231,FIRST CMNTY BK-PRINCETON
242,3088643,20200331,FIRST CMNTY BK XENIA FLORA
251,1053900,19930630,FIRST B&TC FT GIBSON
279,3619720,20200331,MINEOLA CMNTY BK SSB
354,0,20200331,BISON ST BK
439,1086748,20070630,PEOPLES BK
457,1127016,20200331,LOWRY ST BK
505,1048728,20200331,BALLSTON SPA NB
532,1076776,19960331,BARNETT BK OF NASSAU CTY
550,1101753,19880331,FIRST REPUBLICBANK SOUTH
608,1114605,19991231,VERMONT NB
738,0,19890331,FIRST EASTERN B&TC NORTH
868,2378422,19980331,CONTINENTAL PACIFIC BK
934,1234129,19830331,COMBANK/FAIRVILLA
952,1054840,19930630,MOUNTAIN PLAZA NB
970,1200405,19970930,CITY SVG BK
1146,2291914,20070331,PULASKI B&TC
1155,1247231,20200331,FIRST ST BK & TR CO
1164,0,19920930,AMERICAN GEN FNCL CTR THRIFT C
1258,1199509,19900630,VALLEY BK MENOMONIE
1342,0,19840930,SAN PIERRE ST BK
1351,0,20200331,BANK OF GRANDIN
1454,1054840,20200331,HILLTOP NB
1511,0,20131231,ROYAL BK OF SCOTLAND PLC NY BR
1557,3822687,20171231,FIRST ST BK KIOWA KS
1632,1078846,20100331,SEA ISLAND BK
1650,1119794,19930930,FIRST BK SOUTH NA
1669,2465283,20200331,LIBERTY NB
1735,1020283,19770630,LNDMRK BK OF W BROWARD NA
1744,0,19840331,SHELBY NB OF SHELBYVILLE
1753,1249338,19880630,FIRST CITY BK - BELLAIRE NA
1829,1247419,20170331,ALLEGHENY VALLEY BK
1847,1249730,19980331,STOCK YARDS B&TC
1856,0,20200331,WASHITA ST BK
1959,0,20011231,SECURITY ST BK
2040,1245602,20190630,FARMERS & MRCHS BK
2059,1060597,19860331,BANK OF KIOWA
2125,0,19930930,DORN BKG CO
2161,1136906,20200331,LAMAR NB
2237,1020229,19791231,FIRST NB IN PLANT CITY
2255,1831760,20000630,FIRST BK
2321,0,19860331,BARCLAYS BK PLC
2330,1076020,19921231,PEOPLES BK OF RICHWOOD
2358,1065846,19880331,FIRST ST BK OF GAGE
2367,0,19870930,SEQUOIA CMNTY BK
2376,2692892,20190930,ORITANI BK
2451,3220498,20100630,THUNDER BK
2509,1113907,19901231,CONNECTICUT B&TC NA
2554,3615272,20190331,STATE BK OF MARIETTA
2639,1076776,19771231,BARNETT BK OF PT EVERGLADES
2648,2724645,19990331,FIRSTAR BK IL
2657,0,19880331,CENTURY NB
2732,1208933,20200331,ALBANY B&TC NA
2750,0,20200331,GENOA CMNTY BK
2901,0,19801231,PEOPLES BK FOR SVGS NEW ROCHE
2938,1078846,20100331,SB&T BK
2956,1846634,20050930,CITIZENS HOME BK
3038,0,19860630,FANNIN COUNTY BK
3056,1126532,19910331,SECURITY ST BK OF MAYNARD
3140,1199611,19880331,NORTHERN TR BK/NAPERVILLE
3177,0,20160930,OCEAN CITY HOME BK
3252,1050794,20200331,FIRST NB OF GORDON
3403,0,20200331,ALLIED IRISH BKS NY BR
3449,0,19930930,AMERICAN GENERAL FNCL CTR INC
3458,1061165,20200331,FARMERS BK
3506,1138535,20061231,INTERCHANGE BK
