lenderid,name,rssdid,Non-us
L0001,3I PLC,,
L0002,WARBURG PARIBAS BECKER INC.,,
L0003,AAFS AG,,
L0004,ABU DHABI COMMERCIAL BANK,,
L0005,ABU DHABI INT. BK INC,,
L0006,ABU DHABI INVESTMENT CO,,
L0007,ADELA INTERNATIONAL FINANCING CO. S.A.,,
L0008,ADVANCE BANK AUSTRALIA,,
L0009,AETNA FINANCIAL SERVICES INC,,
L0010,AFFILIATED ROMANIAN BANK GROUP,,
L0011,AFIN,,
L0013,AGIFEL INTERNATIONAL LTD,,
L0014,AIDC,,
L0015,ASIA INTERNATIONAL MERCHANT BANKERS BHD.,,
L0016,AL AHLI BANK,,
L0017,ALAHLI BANK OF KUWAIT KSC,,
L0018,AL BAHRAIN ARAB AFRICAN BANK EC,,
L0020,AL MAL,,
L0021,AL SAUDI BANQUE,,
L0022,SAUDI INT. BANK,,
L0023,AL-BANK AL-SAUDI AL-FRANSI,,
L0024,ALBANK ALSAUDI ALHOLLANDI,,
L0025,UBAF (BAHRAIN),,
L0026,AL-UBAF GROUP,,
L0028,ALGERISCHE AUSSENHANDELSBANK (ZURICH),,
L0029,ADCA-BANK,,
L0030,ALLGEMEINE SPARKASSE IN LINZ,,
L0031,ALLIED ARAB BANK LTD,,
L0032,ALLIED BANK INT.,,
L0033,ALLIED BANKING CORP,,
L0034,ALLIED IRISH INVESTMENT BK LTD (UK),,
L0035,ALGEMENE SPAAR-EN LIJFRENTEKAS,,
L0036,AMANAH-CHASE MERCHANT BANK BERHAD,,
L0037,AMCA NETHERLANDS,,
L0038,AMERICAN BRANDS INC,,
L0039,AMEX BANK LTD,,
L0041,AMERICAN NATIONAL BANK & TRUST (CHICAGO),,
L0042,AMERICAN SCANDINAVIAN BANKING CORP,,
L0043,AM. SECURITY BANK INT. LTD,,
L0045,AMERITRUST,,
L0047,ANADOLU BANKASI,,
L0048,ANDELSBANKEN DANEBANK,,
L0049,ANDRESENS BANK A/S,,
L0050,ANGLO YUGOSLAV LDT,,
L0052,ANGLO-ROMANIAN BANK LTD,,
L0053,ANSCOR CAPITAL & INVESTMENT CORP,,
L0054,ANTONY GIBBS HOLDINGS LTD.,,
L0055,AP BANK,,
L0056,APCO,,
L0057,ARAB AFRICAN INT. BANK,,
L0058,ARAB AMERICAN BANK,,
L0059,ARAB ASIAN BANK,,
L0060,ARAB BANK LTD,,
L0061,ARAB BANK FOR INVESTMENT & FOR. TRADE,,
L0062,ARAB BANK INVESTMENT CO LTD,,
L0063,ARAB BANKING CORP,,
L0064,ABC-DAUS & CO,,
L0065,ARAB EUROPEAN FIN. MANAGEMENT CO SAK,,
L0066,ARAB FINANCE CORP SAL,,
L0067,ARAB FINANCIAL CONSULTANTS CO. SAK,,
L0068,ARAB HELLENIC BANK SA (ATHENS),,
L0069,ARAB INTERNATIONAL BANK,,
L0070,ARAB INVESTMENT CO SAA,,
L0071,ARAB JAPANESE FINANCE LTD,,
L0072,ARAB JORDAN INVESTMENT BANK,,
L0073,ARAB LATINAMERICAN BANK,,
L0074,ARAB LIBYAN TUNISIAN BANK,,
L0075,ARAB MALAYSIAN DEVELOPMENT BANK BHD,,
L0076,ARAB MONETARY FUND,,
L0077,ARAB NATIONAL BANK,,
L0078,ARAB PETROLEUM INVESTMENTS CORP,,
L0079,ARAB TRUST CO,,
L0080,ARAB TURKISH BANK,,
L0082,ARABIAN GULF INVESTMENT FAR EAST,,
L0083,ARAVEN FINANCE LTD,,
L0084,ARBUTHNOTT LATHAM BANK,,
L0085,ARTOC BANK & TRUST LTD,,
L0086,ASAHI MUTUAL LIFE INSURANCE CO.,,
L0087,ASEAM CAPITAL CORP LTD,,
L0089,ASIAN & EURO-AMERICAN MERCHANT BANK,,
L0090,ASEAN FINANCE CORP,,
L0091,ASHIKAGA BANK,,
L0092,ASIA CREDIT LTD,,
L0093,ASIA MERCHANT BANK,,
L0094,ASIA PACIFIC CAP. CORP LTD,,
L0095,P.T. ASIAN AND EURO-AMERICAN CAPITAL CORP. LTD. (INDONESIA),,
L0096,ASIAN BANKING GROUP,,
L0097,ASIAN INTERNATIONAL ACCEPTANCES & CAPITAL LTD.,,
L0098,ASIAN OCEANIC BANK,,
L0100,ASIAVEST,,
L0101,ASSOC. JAPANESE BANK (INT.) LTD,,
L0102,ATLANTIC INT. BANK LTD,,
L0103,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,,
L0104,AUSTRALIA EUROPEEN FINANCE CORP,,
L0105,AUSTRALIA-JAPAN INTERNATIONAL FINANCE,,
L0106,AUSTRALIA WHEAT BOARD (AWB),,
L0107,AUSTRALIAN BANK,,
L0108,AUSTRALIAIN EUROPEAN FINANCE CORP,,
L0109,AUSTRALIAN GUARANTEE CORPORATION,,
L0110,AUSTRALIA INDUSTRY DEVELOPMENT CORP,,
L0111,AUSTRALIAN INT. FINANCE CORP LTD,,
L0112,AUSTRALIAN RESOURCES DEVELOPMENT BANK,,
L0113,AUSTRALIAN WHEAT BOARD,,
L0114,AWT TRADE FINANCE CO,,
L0115,AYALA FINANCE LTD,,
L0116,AYERS FINNISS,,
L0117,BA ASIA LTD,,
L0118,BA AUSTRALIA,,
L0119,BA FINANCIAL SERVICES,,
L0120,BABCOCK & BROWN,,
L0121,BAC-COB SAVINGS BANK,,
L0122,BACOB SAVINGS BANK,,
L0123,BADISCHE KOM. LANDESBK INT. SA,,
L0124,BAHRAIN FINANCIAL CORPORATION,,
L0125,BAHRAIN INTERNATIONAL BANK,,
L0126,BAHRAIN INVESTMENT CO,,
L0127,BAHRAIN MIDDLE EAST BANK,,
L0128,BALBOA FINANZ,,
L0129,BANCA AGRICOLA POPULARE DI RAGUSA,,
L0130,BANACA ANTONIANA DI PADOVA E TRIESTE,,
L0131,BC CATALANA SA,,
L0132,BANCA CATTOLICA DEL VENETO,,
L0133,BC COMMERCIALE ITALIANA OVERSEAS LTD,,
L0134,BANCA CREDITO AGRARIO BRESCIANO,,
L0135,BANCA D'AMERICA E D'ITALIA,,
L0136,BANCA DEL FRIULI,,
L0137,BC DEL GOTTARDO,,
L0138,BANCA DEL MONTE DI MILANO,,
L0139,BANCA DEL POPOLO,,
L0140,BANCA DEL SALENTO,,
L0141,BANCA DEL SUD,,
L0142,BC DELLA SVIZZERA ITALIANA,,
L0143,BANCA DI MESSINA,,
L0144,BANCA ITALO ROMENA,,
L0145,BANCA MANUSARDI & C,,
L0146,BC MARCH SA,,
L0147,BC MAS SARDA,,
L0148,BANCA MERCANTILE ITALIANA,,
L0149,MONTE DEI PASCHI DI SIENA,,
L0150,BANCO MORA,,
L0151,BANCA NAZIONAL DEL'AGRIOLTURA,,
L0152,BC NAZIONALE DEL LAVORO,,
L0153,BANCA NAZIONALE DELL'AGRICOLTURA,,
L0154,BANCA NAZIONALLE DELLE COMMUNICAZIONI,,
L0155,BANCA POPILARE ABRUZZESE MARCHIGIANA,,
L0156,BANCA POPOLARE COOPERATIVA DI PESCOPAGANO,,
L0157,BANCA POPLARE DI ASOLO E MONTEBELLUNA,,
L0158,BANCA POPOLARE DI BARI,,
L0159,BANCA POPOLARE DI LODI,,
L0160,BC POPOLARE DI MILANO,,
L0161,BC POPOLARE DI NOVARA,,
L0162,BANCA POPLARE DI PADOVA TREVISO E ROVIGO,,
L0163,BANCA POPLARE DI PALERMO,,
L0164,BANCA POPOLARE DI PARABITA E ARADEO,,
L0165,BANCA POPLARE DI VICENZA,,
L0166,BANCA POPLARE MASSICANA,,
L0167,BC PROVINCIALE LOMBARDA,,
L0168,BC SERFIN SA,,
L0169,BANCA TOSCANA,,
L0170,BC UNIONE DI CREDITO,,
L0171,BANCO AMBROSIANO OVERSEAS (NASSAU),,
L0172,BANCO ANGLO COLOMBIANO (NASSAU),,
L0173,BC ARABE ESPANOL SA,,
L0174,BANCO ATLANTICO S.A.,,
L0175,BANCO AUXILIAR,,
L0177,BANCO BILBAOVIZCAYA,,
L0178,BANCO BORGES Y IRMAO,,
L0179,BANCO CAFETERO,,
L0180,BC CENTRAL SA (UK),,
L0181,BC COMERCIAL PARA AMERICA SA,,
