,original_index,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,CLUSTER,IMPUTED,,
5844,5844,198301066,1,B0001,"11,602 WILSHIRE BOULEVARD",11602 WILSHIRE BOULEVARD,,UNITED STATES,USA,Unknown,7507,1,,0 indicates no imputed values.
8362,8362,198509001,1,B0002,123 COLLINS STREET PTY LTD,123 COLLINS STREET PTY LTD,,AUSTRALIA,AUS,Unknown,2626,1,,1 indicates ISIC was imputed.
9426,9426,198608015,1,B0003,20 ADELAIDE STREET EAST INC,20 ADELAIDE STREET EAST INC,,CANADA,CAN,Unknown,8358,1,,2 indicates COUNTRYISO3 was imputed.
5022,5022,198205001,1,B0004,20TH CENTURY FOX FILM CORPORATION,20TH CENTURY FOX FILM CORPORATION,,UNITED STATES,USA,J59,4209,0,,3 indicates both ISIC and COUNTRYISO3 were imputed.
5023,5023,198205002,1,B0004,20TH CENTURY FOX FILM CORPORATION,20TH CENTURY FOX FILM CORPORATION,,UNITED STATES,USA,J59,4209,0,,
12219,12219,198805084,1,B0005,INVESTORS IN INDUSTRY GROUP PLC (3I),INVESTORS IN INDUSTRY GROUP PLC 3I,,UNITED KINGDOM,GBR,K64,8725,0,,
12430,12430,198807070,1,B0005,INVESTORS IN INDUSTRY PLC (3I),INVESTORS IN INDUSTRY PLC 3I,,UK,GBR,K64,8726,0,,
14105,14105,198911066,1,B0005,3I GROUP,3I GROUP,,UNITED KINGDOM,GBR,K64,8632,0,,
11554,11554,198711105,1,B0006,900 NORTH MICHIGAN,900 NORTH MICHIGAN,,UNITED STATES,USA,G47,6876,0,,
473,473,197509001,1,B0007,A. AHLSTROM OSAKEYHTIO,A AHLSTROM OSAKEYHTIO,,FINLAND,FIN,L68,7147,0,,
1953,1953,197902002,1,B0007,A. AHLSTROM OSAKEYHTIO,A AHLSTROM OSAKEYHTIO,,,FIN,C17,7147,3,,
10216,10216,198702050,1,B0007,A AHLSTROM CORP,A AHLSTROM CORP,,FINLAND,FIN,C17,3759,0,,
14494,14494,199003022,1,B0007,A AHLSTROM CORP,A AHLSTROM CORP,,FINLAND,FIN,C17,3759,0,,
4147,4147,198109001,1,B0009,A. TONOLLI & C.SPA,A TONOLLI CSPA,,ITALY,ITA,Unknown,7311,1,,
4148,4148,198109002,1,B0009,A. TONOLLI & C.SPA,A TONOLLI CSPA,,ITALY,ITA,Unknown,7311,1,,
8297,8297,198508039,1,B0009,A TONOLLI & C SPA,A TONOLLI C SPA,,ITALY,ITA,Unknown,5077,1,,
401,401,197505020,1,B0010,AB STATENS SKOGSINDUSTRIER,AB STATENS SKOGSINDUSTRIER,,SWEDEN,SWE,A02,6581,0,,
596,596,197602001,1,B0010,"AKTIEBOLOGET STATENS SKOGSINDUSTRIER,STOCKHOLM",AKTIEBOLOGET STATENS SKOGSINDUSTRIERSTOCKHOLM,ASSI,SWEDEN,SWE,C23,7805,0,,
622,622,197603002,1,B0010,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,,SWEDEN,SWE,C23,6580,0,,
1270,1270,197801002,1,B0010,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,,SWEDEN,SWE,A02,6580,0,,
2771,2771,198002001,1,B0010,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,AKTIEBOLAGET STATENS SKOGSINDUSTRIER,ASSI,SWEDEN,SWE,C16,6580,0,,
7147,7147,198407075,1,B0010,AB STATENS SKOGSINDUSTRIER,AB STATENS SKOGSINDUSTRIER,,SWEDEN,SWE,A02,6581,1,,
7540,7540,198410078,1,B0010,AB STATENS SKOGSINDUSTRIER,AB STATENS SKOGSINDUSTRIER,,SWEDEN,SWE,A02,6581,1,,
8002,8002,198505049,1,B0013,A/S CUSTOS FINANS,AS CUSTOS FINANS,,NORWAY,NOR,Unknown,5207,1,,
9342,9342,198607064,1,B0013,A/S CUSTOS FINANS,AS CUSTOS FINANS,,NORWAY,NOR,Unknown,5207,1,,
6827,6827,198403025,1,B0014,A/S PELICAN & CO K/S,AS PELICAN CO KS,,NORWAY,NOR,Unknown,1666,1,,
14380,14380,199001091,1,B0015,A&S PLAZA CHILDRENS WEAR CENTER,AandS PLAZA CHILDRENS WEAR CENTER,,USA,USA,Unknown,7111,1,,
10896,10896,198707058,1,B0016,AAH PLC,AAH PLC,,UK,GBR,C21,8863,0,,
12413,12413,198807057,1,B0016,AAH HOLDINGS PLC,AAH HOLDINGS PLC,,UK,GBR,C21,8929,0,,
6152,6152,198305007,1,B0017,AARHUS OLIEFABRIK AS,AARHUS OLIEFABRIK AS,,DENMARK,DNK,C10,5196,0,,
11573,11573,198712010,1,B0017,AARHUS OLIEFABBRIK,AARHUS OLIEFABBRIK,,DENMARK,DNK,B06,7737,0,,
5628,5628,198211001,1,B0019,"AB FINANS VENDOR,STOCKHOLM",AB FINANS VENDORSTOCKHOLM,,SWEDEN,SWE,Unknown,5377,1,,
982,982,197701093,1,B0020,AB GOTAVERKEN,AB GOTAVERKEN,,SWEDEN,SWE,Unknown,5412,1,,
1269,1269,197801001,1,B0021,AB SKANSKA CEMENTGJUTERIET,AB SKANSKA CEMENTGJUTERIET,,SWEDEN,SWE,F42,5406,0,,
10797,10797,198706063,1,B0021,SKANSKA AB,SKANSKA AB,,SWEDEN,SWE,F41,5407,0,,
10897,10897,198707059,1,B0022,ABACO INVESTMENT PLC,ABACO INVESTMENT PLC,,UK,GBR,C21,5682,0,,
13153,13153,198812081,1,B0022,ABACO INVESTMENTS,ABACO INVESTMENTS,,UNITED KINGDOM,GBR,C21,2359,0,,
9494,9494,198608082,1,B0023,ABBEY LIFE HOME LOANS LTD,ABBEY LIFE HOME LOANS LTD,,UNITED KINGDOM,GBR,K65,7978,0,,
10898,10898,198707060,1,B0023,ABBEY LIFE HOME LOANS LTD,ABBEY LIFE HOME LOANS LTD,,UK,GBR,K65,7978,0,,
13030,13030,198811101,1,B0023,ABBEY LIFE EXECUTIVE MORTGAGES,ABBEY LIFE EXECUTIVE MORTGAGES,,UNITED KINGDOM,GBR,K65,7996,0,,
9989,9989,198612107,1,B0024,ABBEY NATIONAL BUILDING SOCIETY,ABBEY NATIONAL BUILDING SOCIETY,,UNITED KINGDOM,GBR,K64,5316,0,,
10135,10135,198701089,1,B0024,ABBEY NATIONAL BUILDING SOCIETY,ABBEY NATIONAL BUILDING SOCIETY,,UNITED KINGDOM,GBR,K64,5316,0,,
11224,11224,198709140,1,B0024,ABBEY NATIONAL BUILDING SOCIETY,ABBEY NATIONAL BUILDING SOCIETY,,UK,GBR,K64,5316,0,,
11385,11385,198710082,1,B0024,ABBEY NATIONAL BUILDING SOCIETY,ABBEY NATIONAL BUILDING SOCIETY,,UNITED KINGDOM,GBR,K64,5316,0,,
6066,6066,198303038,1,B0025,ABDUL HADI AL QAHTANI AND SONS,ABDUL HADI AL QAHTANI SONS,,SAUDI ARABIA,SAU,C11,6795,0,,
1351,1351,197803001,1,B0026,ABDUL JALIL AL FAHIM AND SONS,ABDUL JALIL AL FAHIM SONS,,UAE,ARE,C29,6794,0,,
6512,6512,198311067,1,B0027,ABDUL LATIF JAMEEL,ABDUL LATIF JAMEEL,,SAUDI ARABIA,SAU,K64,7741,0,,
7012,7012,198406012,1,B0028,ABDUL RAHIM E. GALADARI & BROTHERS,ABDUL RAHIM E GALADARI BROTHERS,,DUBAI,ARE,Unknown,7301,1,,
5024,5024,198205003,1,B0030,ABDULLAH AL MISHARI & ABDUL MOHSEN AL KHATRESH CO,ABDULLAH AL MISHARI ABDUL MOHSEN AL KHATRESH CO,,SAUDI ARABIA,SAU,Unknown,1737,1,,
1606,1606,197808001,1,B0031,ABDULMOHSEN ABDULAZIZ AL-BABTAIN COMPANY,ABDULMOHSEN ABDULAZIZ ALBABTAIN COMPANY,,KUWAIT,KWT,C29,3111,0,,
3070,3070,198007003,1,B0031,AL-BABTAIN CO,ALBABTAIN CO,,KUWAIT,KWT,D35,1768,0,,
3666,3666,198104001,1,B0031,ABDULMOHSEN ABDULAZIZ AL-BABTAIN COMPANY,ABDULMOHSEN ABDULAZIZ ALBABTAIN COMPANY,,KUWAIT,KWT,G45,3111,0,,
5502,5502,198210001,1,B0031,ABDULMOHSEN ABDULAZIZ AL-BABTAIN CO,ABDULMOHSEN ABDULAZIZ ALBABTAIN CO,,KUWAIT,KWT,K64,1769,0,,
12161,12161,198805031,1,B0032,ABE INTERNATIONAL VENTURES CORP HOLDING (HK),ABE INTERNATIONAL VENTURES CORP HOLDING HK,,HONG KONG,HKG,Unknown,1386,1,,
6627,6627,198401008,1,B0033,ABITIBI-PRICE REFINANCE INC,ABITIBIPRICE REFINANCE INC,,CANADA,CAN,C17,8416,1,,
12598,12598,198809016,1,B0033,ABITIBI-PRICE REFINANCE,ABITIBIPRICE REFINANCE,,CANADA,CAN,C17,7846,0,,
2026,2026,197903001,1,B0034,ABU DHABI DRILLING CHEMICALS AND PRODUCTS,ABU DHABI DRILLING CHEMICALS PRODUCTS,,,Unknown,Unknown,6881,3,,
1658,1658,197809002,1,B0035,ABU DHABI GAS LIQUEFACTION CO LIMITED,ABU DHABI GAS LIQUEFACTION CO LIMITED,,UAE,ARE,B06,1623,0,,
1696,1696,197810001,1,B0035,ABU DHABI GAS LIQUEFACTION COMPANY LTD,ABU DHABI GAS LIQUEFACTION COMPANY LTD,,UAE,ARE,B06,5787,0,,
6446,6446,198311001,1,B0035,ABU DHABI GAS LIQUEFACTION CO,ABU DHABI GAS LIQUEFACTION CO,,ABU DHABI,ARE,C19,1624,0,,
9411,9411,198608001,1,B0035,ABU DHABI GAS LIQUIFICATION COMPANY LTD,ABU DHABI GAS LIQUIFICATION COMPANY LTD,ADGAS,ABU DHABI,ARE,C19,5788,0,,
1952,1952,197902001,1,B0036,ABU DHABI MARINE AREAS,ABU DHABI MARINE AREAS,,,Unknown,Unknown,6880,3,,
6908,6908,198405001,1,B0037,ABU DHABI NATIONAL OIL TANKER CO,ABU DHABI NATIONAL OIL TANKER CO,,ABU DHABI,ARE,C19,3422,0,,
