OG_INDEX,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,CLUSTER
0,197401001,1,B4293,P.E. BENTESEN A/S,PE BENTESEN AS,,DENMARK,DNK,,,,2195
1,197401002,1,B1162,CENTRAIS ELECTRICAS DE GOIAS,CENTRAIS ELECTRICAS DE GOIAS,,BRAZIL,BRA,D35,,,8973
2,197401003,1,B1352,CITIZENS AND SOUTHERN REALTY INVESTORS,CITIZENS SOUTHERN REALTY INVESTORS,,UNITED STATES OF AMERICA (THE),USA,C54,,,3927
3,197401004,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,,MEXICO,MEX,D35,,,10597
4,197401005,1,B1639,CREDIT POPULAIRE D'ALGERIE,CREDIT POPULAIRE DALGERIE,,ALGERIA,DZA,K64,,,6129
5,197401006,1,B1639,CREDIT POPULAIRE D'ALGERIE,CREDIT POPULAIRE DALGERIE,,ALGERIA,DZA,K64,,,6129
6,197401007,1,B1732,"DEEP SEA DRILLING COMPANY, BERGEN",DEEP SEA DRILLING COMPANY BERGEN,,NORWAY,NOR,B06,,,8583
7,197401008,1,B1763,DEN DANSKE STAALVASEVAERK A/S,DEN DANSKE STAALVASEVAERK AS,,DENMARK,DNK,,,,2172
8,197401009,1,B2231,FIRST MORTGAGE INVESTORS,FIRST MORTGAGE INVESTORS,,UNITED STATES OF AMERICA (THE),USA,K64,,,4789
9,197401010,1,B2234,FIRST NATIONAL FINANCE CORPORATION,FIRST NATIONAL FINANCE CORPORATION,,UNITED KINGDOM,GBR,K64,,,94
10,197401011,1,B2595,GRUPO CIMENTO PARAISO,GRUPO CIMENTO PARAISO,,BRAZIL,BRA,,,,3760
11,197401012,1,B2980,INSTITYTO DE FOMENTO NACIONAL,INSTITYTO DE FOMENTO NACIONAL,,NICARAGUA,NIC,O84,,,10182
12,197401013,1,B3500,LONDON AND OVERSEAS PROPERTY AND INVESTMENT COMPANY LIMITED,LONDON OVERSEAS PROPERTY INVESTMENT COMPANY LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,7266
13,197401014,1,B3563,MALLOW LINE (SHIPPING) CORPORATION,MALLOW LINE SHIPPING CORPORATION,,,,H50,,,5682
